方程 = a * x +b*y+ c
训练数据量	输入维度	train_rmse	test_rmse	test_平均误差率		模型参数
5		冠幅cw 面积CA 	1.06842089335	2.22527034684	0.0953319419858		[array([-5.35612121,  1.41975672]), 24.360741298338535]
10		冠幅cw 面积CA 	0.80203764931	1.20879001226	0.0531549780431		[array([-2.17788713,  0.7777029 ]), 18.129830447371695]
15		冠幅cw 面积CA 	0.981679186392	1.12615320307	0.0494036425293		[array([-1.70561934,  0.7108669 ]), 16.801266095264697]
20		冠幅cw 面积CA 	0.978105986431	1.04515667551	0.0467099387625		[array([-1.2342513 ,  0.60663389]), 15.8622059300711]
25		冠幅cw 面积CA 	1.03419182372	1.03882020593	0.0465347470336		[array([-1.15176928,  0.58751446]), 15.714717266944151]
30		冠幅cw 面积CA 	1.16142757749	1.04068147878	0.0457914802554		[array([-1.46119455,  0.62616272]), 16.622538895147265]
35		冠幅cw 面积CA 	1.15214036069	1.04576043519	0.0464793288353		[array([-1.27156318,  0.58594116]), 16.423243563991349]
40		冠幅cw 面积CA 	1.13520956478	1.04809276522	0.0466020984257		[array([-1.35439002,  0.59982796]), 16.600361689813045]
45		冠幅cw 面积CA 	1.09494006351	1.04990396172	0.0471054193825		[array([-1.2806962 ,  0.58250582]), 16.531614345549368]
52		冠幅cw 面积CA 	1.062074195	1.05236574553	0.0466665905647		[array([-1.38862349,  0.61301545]), 16.578409968318887]
5		冠幅cw 树高CH 	1.19262628599	1.03362631764	0.046319263806		[array([ 1.20079768,  0.35389985]), 9.5641300684796171]
10		冠幅cw 树高CH 	1.47244694158	1.4854048353	0.0741621703856		[array([ 0.75469754,  0.74441143]), 8.8970539041158752]
15		冠幅cw 树高CH 	1.36904471908	1.5579807444	0.0763517238		[array([ 0.70808308,  0.84106274]), 8.2478301390794684]
20		冠幅cw 树高CH 	1.27498844538	1.43288509051	0.0719848259504		[array([ 0.8335814 ,  0.67928808]), 9.1328536409485643]
25		冠幅cw 树高CH 	1.30781348544	1.52420077083	0.0750672628309		[array([ 0.94594798,  0.70151706]), 8.5862807553744265]
30		冠幅cw 树高CH 	1.34492840005	1.62116456131	0.0800673105211		[array([ 0.58792829,  0.82850435]), 8.921428049667627]
35		冠幅cw 树高CH 	1.32538551692	1.37571511972	0.0690407454221		[array([ 0.82758657,  0.72895163]), 8.6144303946185286]
40		冠幅cw 树高CH 	1.32518750697	1.24573838172	0.0629324169313		[array([ 0.91971097,  0.63534286]), 8.9495479476854207]
45		冠幅cw 树高CH 	1.30661894345	1.12591202625	0.0557114675006		[array([ 1.13836205,  0.51745817]), 8.9645268301511258]
52		冠幅cw 树高CH 	1.30025390766	1.09260999821	0.0528810846591		[array([ 1.23736475,  0.50320664]), 8.6287807190137933]
5		面积CA 树高CH 	1.16034441351	0.915998764409	0.04073909433		[array([ 0.29954191,  0.19100251]), 12.636476123914747]
10		面积CA 树高CH 	1.06205030696	1.13211831471	0.0503740377884		[array([ 0.39143571,  0.17262708]), 12.264540056904004]
15		面积CA 树高CH 	1.0942219705	1.06546287405	0.049544837844		[array([ 0.32629197,  0.34601567]), 11.438812149745681]
20		面积CA 树高CH 	1.00192820737	0.983886781281	0.0450631585761		[array([ 0.31299723,  0.30817451]), 11.802417147205427]
25		面积CA 树高CH 	1.03367005443	0.991143300316	0.0451085925538		[array([ 0.3166542 ,  0.33257355]), 11.554758184566055]
30		面积CA 树高CH 	1.11924575592	1.06232126385	0.0519036330805		[array([ 0.26267868,  0.48598879]), 10.914462114853762]
35		面积CA 树高CH 	1.06933163879	1.01310218861	0.0488592797066		[array([ 0.26787118,  0.47785193]), 10.85626295468697]
40		面积CA 树高CH 	1.07257349422	0.959102254484	0.044981539225		[array([ 0.27804402,  0.41829991]), 11.194462024498971]
45		面积CA 树高CH 	1.04572862357	0.924838848609	0.0418459628474		[array([ 0.29006511,  0.34394674]), 11.646402750016]
52		面积CA 树高CH 	1.03677002815	0.914292829823	0.0402042861926		[array([ 0.30839517,  0.3178976 ]), 11.624109884380838]

