方程 = ax^2 + bx + cy + dxy + e 
数据量	输入维度	train_rmse	test_rmse	test_平均误差率		模型参数
5	冠幅cw 面积CA 	2.647094753e-12	13.4493415894	0.482115998982		[array([  31.46058554, -171.04604405,   22.48680073,   -6.37425155]), 228.87142161817835]
10	冠幅cw 面积CA 	0.487871480598	1.44450969078	0.0624839060326		[array([  2.38922132, -14.41262706,   3.36586505,  -0.6303879 ]), 28.854441476544949]
15	冠幅cw 面积CA 	0.878847474448	1.27067447349	0.0615259139421		[array([-0.26685842,  3.26807605,  0.87691031, -0.08785453]), 3.7300921940725758]
20	冠幅cw 面积CA 	0.909147510141	1.15860359958	0.0579208500459		[array([-0.1224539 ,  2.53480069,  0.85386045, -0.1014463 ]), 4.9448949959385935]
25	冠幅cw 面积CA 	1.00469785934	1.08519793709	0.0536700432162		[array([-0.18408432,  2.11203418,  0.68736177, -0.05328885]), 7.1533746382982173]
30	冠幅cw 面积CA 	1.12472265173	1.04945143676	0.0512295395274		[array([-0.01083736,  0.37732968,  0.89628318, -0.08182003]), 10.288429974538598]
35	冠幅cw 面积CA 	1.11008630807	1.07512700796	0.0530332283662		[array([-0.05528992,  0.94270701,  0.8454351 , -0.07804859]), 9.2199386185449406]
40	冠幅cw 面积CA 	1.11457597692	1.04490100145	0.0496185360991		[array([ 0.119193  , -0.92258796,  0.91293012, -0.08200537]), 13.245153001654064]
45	冠幅cw 面积CA 	1.07607186427	1.04791594982	0.0494587234681		[array([ 0.03542967, -0.42293723,  0.79543967, -0.05971168]), 12.944518346506475]
52	冠幅cw 面积CA 	1.04371614582	1.04904613213	0.0495632602628		[array([ 0.0466919 , -0.56643019,  0.84128776, -0.06361674]), 12.95748343414218]
5	面积CA 冠幅cw 	1.097610303e-13	20.5361955947	0.703360451632		[array([ -1.27820491,  -2.84287614, -46.76924331,   6.34199715]), 107.72006504167408]
10	面积CA 冠幅cw 	0.492371423056	1.46196443189	0.0608443457701		[array([-0.05452781,  1.63750375, -3.80658084,  0.12216017]), 17.272993432655511]
15	面积CA 冠幅cw 	0.879478392953	1.2522355606	0.0606912353828		[array([  6.14669389e-04,   1.09432055e+00,   1.58476298e+00, -1.41750163e-01]), 6.0974267536121651]
20	面积CA 冠幅cw 	0.90590712703	1.21270212811	0.0603148576999		[array([ 0.01401506,  0.90557472,  3.10726274, -0.20649699]), 3.0453435646144911]
25	面积CA 冠幅cw 	0.995641348631	1.17674863448	0.0581157600768		[array([ 0.02175817,  0.77068618,  3.30601692, -0.22364784]), 3.3944710180966009]
30	面积CA 冠幅cw 	1.12428020336	1.04279275052	0.0504062720513		[array([-0.00481322,  0.92466194, -0.17508136, -0.05544924]), 11.441551724456282]
35	面积CA 冠幅cw 	1.11009179187	1.07180710349	0.0526963833587		[array([-0.00145276,  0.89702964,  0.43234581, -0.07962234]), 10.057821029468432]
40	面积CA 冠幅cw 	1.11427413675	1.04206994383	0.0492468960524		[array([-0.00515105,  0.83938206, -0.56962192, -0.03246895]), 13.006060006957668]
45	面积CA 冠幅cw 	1.07595391714	1.04643869936	0.0491701807397		[array([-0.0026104 ,  0.77664863, -0.42420214, -0.03851193]), 13.112795512467269]
52	面积CA 冠幅cw 	1.04342237863	1.04680653601	0.0490864848531		[array([-0.00412174,  0.81881421, -0.63111567, -0.03170792]), 13.314783101316491]
5	冠幅cw 树高CH 	2.574185619e-14	2.86285637759	0.109688254969		[array([ 2.86759322, -4.1698152 ,  7.35299777, -2.00661885]), -6.112532998600507]
10	冠幅cw 树高CH 	0.949469896834	1.99552882918	0.0948967580713		[array([ -2.76693941,  18.01491399,  -2.80310193,   0.85189088]), -14.050606950048358]
15	冠幅cw 树高CH 	1.09689992466	1.74651973759	0.0800528124858		[array([ -1.31262384,  13.37811759,   0.10135888,   0.05081242]), -16.259625952476387]
20	冠幅cw 树高CH 	0.983256740569	1.56643323265	0.0689112460767		[array([ -0.96575748,  11.65246026,   0.81916114,  -0.1192952 ]), -15.363340081627307]
25	冠幅cw 树高CH 	1.08337122993	1.51140578691	0.0659860817854		[array([ -0.90336104,  10.77164582,   0.74681807,  -0.09232108]), -13.222548505141027]
30	冠幅cw 树高CH 	1.24091300939	1.45262734199	0.065150899282		[array([-0.64612501,  7.87282394,  0.96160992, -0.09213294]), -7.6737357812242806]
